Site,Control System,Unit,Application Type,Application Instance,Points
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Time Schedules,OCCUPANCY,"BYPASS TO ON, OUTPUT"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Lighting Control,OUTSIDE LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Lighting Control,OUTSIDE LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHT LEVEL IN, LIGHTS OUTPUT, LLEVIF OUT"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Lighting Control,OUTSIDE LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Lighting Control,OUTSIDE LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Lighting Control,OUTSIDE SIGNS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Lighting Control,OUTSIDE SIGNS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Lighting Control,OUTSIDE SIGNS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,Time Schedules,OVERNIGHT,OUTPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Time Schedules,OVERNIGHT,OUTPUT
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Time Schedules,OVERNIGHT,OUTPUT
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,Time Schedules,OVERNIGHT,OUTPUT
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Time Schedules,OVERNIGHT,OUTPUT
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Time Schedules,OVERNIGHT,OUTPUT
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,HVAC Zones,PHARMACY,"OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,HVAC Zones,PHARMACY,"ENTHALPY OK, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,HVAC Zones,PHARMACY,"BYPASS TO OCC, ENTHALPY OK, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Lighting Control,PHARMACY LTS,LIGHTS OUTPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Lighting Control,PHARMACY LTS,LIGHTS OUTPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,ARTC/RTU Control,R1 FRONT,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,ARTC/RTU Control,R1 FRONT,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, MOD ECON, SPACE TEMP, SUPPLY TEMP"
